gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj,contrast,direction
GJA4,85.39073588146888,1.3684384236799805,0.29693078669161727,2.8438996427027762e-8,2.8996030587331874e-7,LSvsNL,up
ZC3H12A,1168.0527916565434,1.1773391582575672,0.18507608053234426,3.928398652116932e-12,8.865013745005704e-11,LSvsNL,up
RIMS3,123.50580338824903,1.052661462434754,0.20312484811183973,4.5475459733842375e-9,5.4802637976589784e-8,LSvsNL,up
CFAP57,38.56388577689194,-1.1075210279618084,0.30390259498732464,1.84688613744717e-6,1.2408790036052263e-5,LSvsNL,down
CDC20,1152.8300803648972,1.2086383988913003,0.12793963730480767,8.260740422995118e-23,1.004419729192981e-20,LSvsNL,up
KIF2C,356.5838553388191,1.1810757741350826,0.17888614284882282,2.426832506894034e-12,5.722197110683719e-11,LSvsNL,up
BEST4,65.40443197398069,-1.0365768979753958,0.2615836782018504,3.1333136829330593e-6,2.0258365014296957e-5,LSvsNL,down
HPDL,92.11335474841766,1.4504995289652418,0.270440445386463,1.330199509891509e-9,1.8304848492113475e-8,LSvsNL,up
FAAHP1,22.044392136548414,2.372464642716246,0.40342520513597485,4.129622820536084e-13,1.1213990769165737e-11,LSvsNL,up
TUBAP8,8.136394046328034,-1.137509511429445,0.3863398902787674,5.451812528960607e-5,2.5896904237421336e-4,LSvsNL,down
TUBAP9,11.323113122588282,-1.2335235103085174,0.36668180638987813,6.9461615937477975e-6,4.0945662390351975e-5,LSvsNL,down
STIL,88.52414183459175,1.075189418086926,0.18736910782494146,4.988398067948678e-10,7.442854370062987e-9,LSvsNL,up
SKINT1L,7.065380020599992,-1.373959496723485,0.4933498133553448,7.322375758024611e-5,3.358768812654701e-4,LSvsNL,down
AGBL4,20.14060937865193,-3.072572549326562,0.39059786179174083,1.7659704739032585e-20,1.607427761525463e-18,LSvsNL,down
TTC39A,782.1134142999565,1.6680250529659684,0.18909004445468014,5.670358720113748e-20,4.689703280548898e-18,LSvsNL,up
