gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj,contrast,direction
ISG15,542.9052498502109,1.639906420817424,0.29422235157076504,3.483072825279426e-11,6.14205062009774e-10,LSvsNL,up
TNFRSF4,49.4342643328056,1.5833563175401906,0.3068919060013363,7.796587287245006e-10,1.0527183784324537e-8,LSvsNL,up
SCNN1D,120.29913628626366,1.3157608624130068,0.27743408153089605,6.648972494533972e-9,7.482321695508109e-8,LSvsNL,up
PLCH2,290.20362204018863,-1.0151785828836635,0.19136108475037733,8.739797766752023e-10,1.1657911786604023e-8,LSvsNL,down
MIR4252,3.073641840131037,-1.0013378362501764,0.3802599102168838,5.739055022829742e-4,0.0020793609260854667,LSvsNL,down
TNFRSF9,26.926415008461362,1.9224186528167237,0.41650210419904365,3.841845185758666e-9,4.5376488952222586e-8,LSvsNL,up
AGMAT,13.057931918312189,1.457243253669705,0.28129519728751845,3.394205289393819e-9,4.046884115833036e-8,LSvsNL,up
PLA2G2A,979.2061200032149,1.9885242769941707,0.41198503471533,2.470873816886325e-10,3.652253888262653e-9,LSvsNL,up
PLA2G2F,1400.676056262511,1.373384234030257,0.1252065642735199,5.4648836400102446e-30,1.1752165622919593e-27,LSvsNL,up
UBXN10,80.75583734787612,-1.0061088968104632,0.24474402635089298,1.510892971813836e-6,1.0332464399587572e-5,LSvsNL,down
FAM43B,9.104815842712272,1.972564433977196,0.348735560462629,3.495780408526584e-11,6.158300871524254e-10,LSvsNL,up
SH2D5,15.460566183422427,5.034303821966484,0.8487172722716534,6.516140962945075e-14,1.8623278726186942e-12,LSvsNL,up
ALPL,56.56938132703988,1.7626561708064545,0.369931647148022,2.1691318660496974e-9,2.6907502884100034e-8,LSvsNL,up
C1QB,557.6372601527426,1.05153986104105,0.30421954828832304,9.183706147950785e-6,5.220679375014963e-5,LSvsNL,up
EPHB2,50.42528999666654,1.3561942114312275,0.3695718436433335,2.5437463547153e-6,1.6418895760999122e-5,LSvsNL,up
TEX46,3.2081209504803545,-1.0914561597894195,0.46511252080802956,9.078726200347085e-4,0.003095403283389801,LSvsNL,down
AUNIP,56.34752079346622,1.6411332895694744,0.2670695743498449,3.9961570760260535e-12,8.255615285004494e-11,LSvsNL,up
SFN,18901.126842966012,1.0726074075149077,0.0928620501650192,7.153294474213113e-32,1.7279615720311513e-29,LSvsNL,up
CD164L2,432.40323324483865,1.1066219849304093,0.1699221179321831,1.9123987798976034e-12,4.204892778642686e-11,LSvsNL,up
IFI6,379.018539463057,1.8648920316253195,0.2632021575518781,2.0122015266813477e-16,8.826657144651464e-15,LSvsNL,up
SNORA73B,11.828956910491623,1.0646292914723676,0.29535993046385317,1.4365852358547374e-5,7.816335713996432e-5,LSvsNL,up
FAM167B,14.745166731966599,1.015306949359532,0.29201435500353673,2.0351399483392006e-5,1.069995761747569e-4,LSvsNL,up
LCK,221.06820390537027,1.5642569713540404,0.32319458723448374,1.3246107076490471e-9,1.7149915725905506e-8,LSvsNL,up
GJA4,85.41018587141858,1.3385521915048733,0.3032577035548432,5.4565474842006745e-8,5.061586445891357e-7,LSvsNL,up
ZC3H12A,1167.9527831396147,1.218764775299751,0.1802997552205261,2.6093950584201665e-13,6.678384972450104e-12,LSvsNL,up
MIR3659,1.6554596881285484,-1.6083262415031208,0.7310878395751262,0.0015628099881037053,0.005021609207401738,LSvsNL,down
LINC01343,4.3883301496903,1.239897541747377,0.3839549633137624,3.9155953366382875e-5,1.9254770821606123e-4,LSvsNL,up
RIMS3,123.52047261895325,1.0763349486616918,0.19835583375085478,1.3464781558016038e-9,1.7407474926250354e-8,LSvsNL,up
CFAP57,38.584915172732686,-1.0427636670437697,0.30291772418429025,6.116101953580745e-6,3.616745199511833e-5,LSvsNL,down
