gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj,contrast,direction
LCE3A,3456.4476640299645,7.276513504696064,0.47298981609439844,4.0207310714049363e-82,6.371652528855403e-78,LSvsNL,up
IVL,9310.745984181594,1.471533955791055,0.14263652441923896,3.806498850928804e-27,8.151565850090373e-25,LSvsNL,up
SPRR1B,16142.95215403242,3.4938900580126226,0.276533128866981,2.9694605572199274e-47,3.361217246447442e-44,LSvsNL,up
SPRR2D,5185.766102299824,2.718146771189765,0.3500077887949533,1.0781017697609804e-21,1.1701834757124832e-19,LSvsNL,up
SPRR2A,3836.030271124232,6.556076676886362,0.5732858966331519,1.1854341134168536e-52,1.8785574395316877e-49,LSvsNL,up
SPRR2B,2870.0755102168814,4.603487213595508,0.480312737789725,1.1596874621256052e-36,5.568959761304383e-34,LSvsNL,up
SPRR2E,24147.728263078287,1.8297027397596177,0.22875548428645254,8.046327691470545e-20,6.4075454737052116e-18,LSvsNL,up
SPRR2F,383.3497821464963,6.835182541193962,0.7268081769855476,6.455062791469247e-41,4.447538263322311e-38,LSvsNL,up
SPRR2G,20765.356691005687,2.3039513872000037,0.35753219734799874,1.582692006086583e-16,8.038756480914769e-15,LSvsNL,up
LORICRIN,15152.945141713762,-1.3397424259859876,0.20492056336555886,4.5831299838267035e-14,1.4672497142161973e-12,LSvsNL,down
S100A9,43268.87790136972,6.638531736311448,0.48089649719630917,8.257275489847352e-70,3.2713261171902747e-66,LSvsNL,up
S100A12,136.68103212830476,7.046931844084816,0.7227308082573248,8.19192296384499e-38,4.6363358288589837e-35,LSvsNL,up
S100A8,66872.8619019766,6.521168815707093,0.5255220950925956,1.1513630416613695e-61,2.606521445886817e-58,LSvsNL,up
S100A7A,4596.69049310325,8.03410179447985,0.8259725963778163,5.518475534746777e-50,6.727021676856322e-47,LSvsNL,up
S100A7,52670.91060098137,4.342113695651327,0.43089597967581045,8.054165916283898e-37,3.988573977354717e-34,LSvsNL,up
S100A2,14979.159209935806,1.9185056303798194,0.20770430662188757,4.079483215495566e-24,5.930969772106259e-22,LSvsNL,up
SH2D2A,21.92549185278807,2.3800994882600457,0.2976524809380265,2.2339541164392835e-18,1.456850653630178e-16,LSvsNL,up
CD1D,15.787446774108787,1.5636573618324858,0.680378210159184,6.942474073133618e-5,3.199109817881606e-4,LSvsNL,up
CD1B,198.5565435879058,2.222996041048228,0.4503512253127646,1.748119159682265e-10,2.8707196190139744e-9,LSvsNL,up
PYHIN1,15.044971881453915,1.3655718765988263,0.41439728974336826,5.815841329381782e-6,3.470016473897331e-5,LSvsNL,up
AIM2,26.986699482618157,2.4838102408806906,0.3755677815204926,2.1177268205943428e-15,8.561126766826161e-14,LSvsNL,up
NHLH1,13.787094618759909,-1.3801828229508375,0.30908896817098613,5.130262765983351e-8,4.897546629670974e-7,LSvsNL,down
SLAMF1,41.27795843681468,1.6400231233547,0.3925063181815467,9.892369216672285e-8,8.937535631505456e-7,LSvsNL,up
CD48,29.03075383538438,1.042247325017812,0.36750594813811116,5.2878963487012535e-5,2.5096523940661505e-4,LSvsNL,up
SLAMF7,168.21737602171848,1.838692335068209,0.2663612526901709,2.912370250045833e-14,9.675541164041156e-13,LSvsNL,up
LY9,36.47491761751232,1.04288551316892,0.3863874478251192,1.1373983420288597e-4,4.98598935715943e-4,LSvsNL,up
CD244,12.226720001400142,1.5538055958224293,0.6280095768077861,3.4818360890723905e-5,1.7253488587720505e-4,LSvsNL,up
ADAMTS4,42.954020130632834,1.703198337269833,0.304529477452287,1.2607450811604081e-11,2.5354095559833737e-10,LSvsNL,up
FCER1G,578.2905223166315,1.142661802495097,0.20673204381063215,3.390098872720027e-10,5.190618051786886e-9,LSvsNL,up
PCP4L1,232.09642301095752,1.0049605072369723,0.2563159994828277,2.916789611972156e-6,1.881252135975692e-5,LSvsNL,up
CD247,39.62390120018268,1.3833653362199694,0.3166199222891418,1.3131030346450124e-7,1.1502898723062197e-6,LSvsNL,up
SELP,132.52720864726902,1.353186288653183,0.3451106045084732,8.702295819731809e-7,6.2203555189576e-6,LSvsNL,up
SELL,104.31395717096376,1.5326383036958338,0.3838895169984022,2.539563524742821e-7,2.0680608004419054e-6,LSvsNL,up
SELE,149.08423918889127,2.582589669490723,0.3898656717150416,9.80791025096938e-16,4.258245308140048e-14,LSvsNL,up
FMO3,22.27856773858707,1.0825826109254197,0.3007512620897799,4.205110931499275e-6,2.607135873688146e-5,LSvsNL,up
FMO2,498.3889048547684,2.6938076921196994,0.3410374793326617,6.727890262873575e-21,6.42270343347937e-19,LSvsNL,up
C1orf105,20.45474093179276,-1.731515177398701,0.31639307022650254,1.1191808084763092e-10,1.9091128387431723e-9,LSvsNL,down
QSOX1,1581.182713031045,1.222483107372751,0.11393659342963032,1.5665716978313558e-28,3.878978389927109e-26,LSvsNL,up
RGS18,19.082237383482834,1.9267325436540648,0.41883993406219255,7.202737087229758e-9,8.193953669872934e-8,LSvsNL,up
RGS1,94.32093610969991,2.1229175166575893,0.3826152176740347,3.603445090926404e-12,8.088894697178806e-11,LSvsNL,up
KIF14,81.38458629514734,1.121635439137118,0.20116641276559752,1.8418325352731459e-9,2.4201923869381047e-8,LSvsNL,up
KIF21B,16.46255625751381,1.2855763457836853,0.34793232873742796,9.986234887988087e-7,7.0053946113301115e-6,LSvsNL,up
ELF3,448.1116148094796,1.3766261360246554,0.20948551801335913,1.2787284174199704e-13,3.75059841018632e-12,LSvsNL,up
PTPN7,159.67790538585587,1.1643283549557863,0.30808201345446407,1.834630764793596e-6,1.2210581154844232e-5,LSvsNL,up
REN,20.235596758921407,2.5774832029303614,0.513563977487967,2.0271283996881472e-10,3.274607925571668e-9,LSvsNL,up
CNTN2,35.23281161426788,-1.7466489110124284,0.30751630273095293,5.65769461755554e-12,1.2198297497197638e-10,LSvsNL,down
BLACAT1,13.199245983027822,2.815155123581325,0.4575615738221281,2.7385528511725838e-14,9.19445911706185e-13,LSvsNL,up
PM20D1,1585.9867710836813,-1.668632454488024,1.1313677496624468,2.2068480332968133e-6,1.4481126618490518e-5,LSvsNL,down
SLC26A9,253.62871637608507,1.5336019363595252,0.25241856866695994,2.162582838371888e-12,5.099769380904658e-11,LSvsNL,up
DYRK3,41.92471929684084,1.0092181637872566,0.2881187207187603,1.111414602214891e-5,6.199432313023365e-5,LSvsNL,up
FCMR,86.40513566259976,1.27440555757539,0.22187295552371789,8.229919521457102e-11,1.4331816995223153e-9,LSvsNL,up
LINC01698,51.77550416494331,-1.1357014561121312,0.5119864477228623,2.1477617941811873e-4,8.733790390656729e-4,LSvsNL,down
HSD11B1,701.510399884448,-2.7604216640226533,0.31252613235731097,5.1156084246087017e-26,9.318051345376333e-24,LSvsNL,down
NEK2,172.97195478590407,1.1280740870541108,0.2569516290121082,2.494338508434772e-7,2.0375145537714346e-6,LSvsNL,up
STUM,104.99654824119024,-1.6951574225454227,0.23703772110095425,5.171949920572559e-16,2.3506115906637044e-14,LSvsNL,down
ACTA1,195.41339322358553,-1.209090314421765,0.9519064939199975,1.2229744976505926e-4,5.306811846733007e-4,LSvsNL,down
GNG4,21.63801650612769,1.8186652611128462,0.48566714521679577,1.7398734686116534e-7,1.4799664442881842e-6,LSvsNL,up
SCCPDH,1090.5130845621554,-1.155447067642136,0.12018726380704071,1.1915145030043479e-23,1.5867168343789835e-21,LSvsNL,down
LINC01341,15.51473731598664,-1.1800196445530071,0.30017394580489865,1.9691893229740927e-6,1.3018666333404441e-5,LSvsNL,down
GCSAML,12.14774917474685,1.623797033991233,0.47527199094255324,1.7253618234713272e-6,1.1556132213250264e-5,LSvsNL,up
OR2T34,20.28055017939324,-2.567588297821171,0.575318344648053,2.0986851106958995e-10,3.373008412697558e-9,LSvsNL,down
OR2T11,11.654037350923826,-2.4885117592328694,0.7377288259572286,3.8628458422693526e-7,2.9860740518264603e-6,LSvsNL,down
CMPK2,53.25100898595644,1.0482548345538956,0.33146442039173735,4.1395110742899076e-5,2.017184255666426e-4,LSvsNL,up
RSAD2,103.18042733444523,1.7763731795455417,0.49319062732500507,4.0683412206687994e-7,3.1296603555309933e-6,LSvsNL,up
GRASLND,7.177932903592852,1.2621439102153975,0.4279277794118111,5.399710891140891e-5,2.5543050296092444e-4,LSvsNL,up
LINC01871,17.657521310065718,1.5122125608805177,0.36618398275765945,1.4030317535098455e-7,1.222311390757038e-6,LSvsNL,up
RRM2,978.0398226084758,1.5619520676712033,0.15545174903969108,1.1214185641935068e-25,1.9316434768233154e-23,LSvsNL,up
VSNL1,1442.4041394704568,1.2740952861419892,0.13595434159954142,2.804916009731989e-23,3.555960320497826e-21,LSvsNL,up
MFSD2B,54.915541065491134,1.5216950782277578,0.17004246475827042,4.548377837299045e-22,5.075925604766054e-20,LSvsNL,up
EFR3B,205.56532859472694,1.4473144370152038,0.21188529231154632,3.1510724380829675e-14,1.0381506221684155e-12,LSvsNL,up
OTOF,16.010057748709414,-2.218109097253316,0.4907455013523868,1.7228584028059347e-9,2.2808802931717332e-8,LSvsNL,down
CENPA,128.35963087554097,1.0322734513991472,0.1901772807083741,1.6899097743085634e-9,2.241004200290193e-8,LSvsNL,up
UCN,30.10779564015936,-1.0017137355775991,0.2323973057282498,4.807032826985979e-7,3.6570834954031115e-6,LSvsNL,down
SLC8A1,266.24921185456105,-1.523574260023106,0.20552962217872742,4.485859875049507e-16,2.0830475866303318e-14,LSvsNL,down
SLC3A1,87.63683046290329,-1.0621113972341891,0.1592337596873156,3.8519186160153227e-13,1.0363557607469409e-11,LSvsNL,down
CHAC2,95.97222817575191,1.2598494446674469,0.23367164529006781,1.9408013270207176e-9,2.5376137482918572e-8,LSvsNL,up
LINC01805,301.84910763686247,-1.3109232130463926,0.16676928611118458,2.883886702356036e-18,1.8577622996843945e-16,LSvsNL,down
PLEK,431.78242020589437,1.3470054777193217,0.30856272645361693,1.5287038527678658e-7,1.3187463230708966e-6,LSvsNL,up
MXD1,1155.092702406813,1.6738482488715958,0.17240866552165962,2.249377229185422e-25,3.713112599052227e-23,LSvsNL,up
HK2,653.676427584516,1.26360650732391,0.2017732412996486,1.3825663947414058e-12,3.375890548145926e-11,LSvsNL,up
TRABD2A,37.590858777993354,1.0228816165619783,0.3260743738001105,7.577796625260873e-5,3.450728250589341e-4,LSvsNL,up
GNLY,131.0050985032325,1.5174380484471517,0.2862726058445303,3.304873629317688e-10,5.079760659922153e-9,LSvsNL,up
LINC01943,16.249553198849163,1.533862011821212,0.38744135989198136,2.9943770702523013e-7,2.3797338732341134e-6,LSvsNL,up
LINC00342,504.7701534505334,-1.0071872031393618,0.11404047592324194,1.2888793246691352e-20,1.187492480118127e-18,LSvsNL,down
ANKRD36C,1243.8788442861558,-1.0160294653109962,0.1066970387885171,1.881317682264609e-23,2.4437083041678084e-21,LSvsNL,down
NCAPH,238.65622992325333,1.1625901866726602,0.20122632961679637,2.815162421967903e-10,4.412648753800728e-9,LSvsNL,up
