gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj,contrast,direction
LCK,221.04947063763302,1.5415235984336637,0.33243608280583337,7.087166635206057e-9,8.129720879636439e-8,LSvsNL,up
GJA4,85.39073588146888,1.368392315298044,0.29694786772092086,2.844932851933359e-8,2.89537871641313e-7,LSvsNL,up
ZC3H12A,1168.0527916565434,1.17731485187852,0.1850755058564772,3.9228096681648565e-12,8.825235102493319e-11,LSvsNL,up
RIMS3,123.50580338824903,1.0534184389198626,0.20314073101882088,4.553355810988023e-9,5.482591433497291e-8,LSvsNL,up
CFAP57,38.56388577689194,-1.107420051973262,0.30395116531785743,1.8497184475280208e-6,1.2405027557059308e-5,LSvsNL,down
CDC20,1152.8300803648972,1.2086304087507462,0.12794260448630018,8.269535601212076e-23,1.0024034833618488e-20,LSvsNL,up
KIF2C,356.5838553388191,1.181050631141755,0.17889023594021233,2.4265936284895427e-12,5.704075297764927e-11,LSvsNL,up
BEST4,65.40443197398069,-1.0364745984219055,0.2616141516680299,3.135937776672242e-6,2.0237201949339382e-5,LSvsNL,down
HPDL,92.11335474841766,1.4504630616351695,0.2704531992470266,1.3309319375185465e-9,1.8274156771862852e-8,LSvsNL,up
FAAHP1,22.044392136548414,2.3724419952686273,0.4034595111696877,4.1423303997603706e-13,1.1213978780551283e-11,LSvsNL,up
TUBAP8,8.136394046328034,-1.1373676423928927,0.38646548455419555,5.956965541999641e-5,2.79916280999545e-4,LSvsNL,down
TUBAP9,11.323113122588282,-1.2334177089142175,0.3667829222156738,6.965071919557201e-6,4.096077595560015e-5,LSvsNL,down
STIL,88.52414183459175,1.075141016729058,0.18740205183585176,5.014532240749452e-10,7.465723848441186e-9,LSvsNL,up
SKINT1L,7.065380020599992,-1.3737816859586849,0.49352068863988063,7.340176181246613e-5,3.3622809281440703e-4,LSvsNL,down
AGBL4,20.14060937865193,-3.072235145744081,0.39074595114082306,1.8083953900280875e-20,1.6409925318562138e-18,LSvsNL,down
TTC39A,782.1134142999565,1.6680154616687168,0.1890856259256559,5.654972378392159e-20,4.662625195036743e-18,LSvsNL,up
RAB3B,367.0433003004005,-3.181703080077503,0.232143767816488,5.635629647631283e-54,1.0171059151830548e-50,LSvsNL,down
PCSK9,126.78317580961645,1.5735929940737707,0.2585166906824807,4.484692286794991e-12,9.924367413407499e-11,LSvsNL,up
CYP2J2,729.527949584578,-1.724827596100452,0.17661722337977612,1.4495050815492983e-26,2.9067050666179323e-24,LSvsNL,down
FPGT-TNNI3K,34.593005290397386,-1.0880536862748114,0.23905775548487176,8.059289834427362e-8,7.48467951861656e-7,LSvsNL,down
IFI44,182.02307738163526,1.3110913480734925,0.25871256268940485,5.856504715017879e-9,6.858486379670902e-8,LSvsNL,up
LINC01725,144.6759464368526,-1.5418543774268327,0.16985698545254804,1.722691208321787e-22,2.0130700213504163e-20,LSvsNL,down
GBP5,59.026655785042884,1.4354829260480844,0.38593685439227743,4.223039012371122e-7,3.2709395345544355e-6,LSvsNL,up
GBP6,212.22100064159483,1.3605755449011672,0.29676934349444256,2.701396571130924e-8,2.7579374295964553e-7,LSvsNL,up
BCAR3,376.46575382841763,-1.388491228543992,0.1659850207681743,1.5878482154345315e-19,1.2459622494349322e-17,LSvsNL,down
